15:00:22,422 DEBUG [Thread-3] (NativeCodeLoader.java:56)   - java.library.path=/usr/lib/jvm/java-7-openjdk-amd64/jre/lib/amd64:/usr/lib/jvm/java-7-openjdk-amd64/jre/lib/i386::/home/gautier/hop/myhops/hops/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-web-proxy/target/native/target/usr/local/lib:/home/gautier/hop/myhops/hops/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-web-proxy/../../../../hadoop-common-project/hadoop-common/target/native/target/usr/local/lib:/home/gautier/hop/myhops/hops/hadoop-yarn-project/hadoop-yarn/target/lib:/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
15:00:22,422  WARN [Thread-3] (NativeCodeLoader.java:62)   - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
15:00:22,423 DEBUG [Thread-3] (JniBasedUnixGroupsMappingWithFallback.java:40)   - Falling back to shell based
15:00:22,423 DEBUG [Thread-3] (JniBasedUnixGroupsMappingWithFallback.java:44)   - Group mapping impl=org.apache.hadoop.security.ShellBasedUnixGroupsMapping
15:00:22,423 DEBUG [Thread-3] (Groups.java:80)   - Group mapping impl=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback; cacheTimeout=300000; warningDeltaMs=5000
15:00:22,424 DEBUG [Thread-3] (CompositeService.java:73)   - Adding service org.apache.hadoop.yarn.server.webproxy.WebAppProxy
15:00:22,424 DEBUG [Thread-3] (CompositeService.java:104)   - org.apache.hadoop.yarn.server.webproxy.WebAppProxyServer: initing services, size=1
15:00:22,424 DEBUG [Thread-3] (AbstractService.java:452)   - Service: org.apache.hadoop.yarn.server.webproxy.WebAppProxy entered state INITED
15:00:22,446  INFO [Thread-3] (RMProxy.java:95)   - HAEnabled false
15:00:22,446  INFO [Thread-3] (RMProxy.java:102)   - Connecting to ResourceManager at localhost/127.0.0.1:8032
15:00:22,448 DEBUG [Thread-3] (UserGroupInformation.java:193)   - hadoop login
15:00:22,449 DEBUG [Thread-3] (UserGroupInformation.java:142)   - hadoop login commit
15:00:22,451 DEBUG [Thread-3] (UserGroupInformation.java:172)   - using local user:UnixPrincipal: gautier
15:00:22,452 DEBUG [Thread-3] (UserGroupInformation.java:754)   - UGI loginUser:gautier (auth:SIMPLE)
15:00:22,453 DEBUG [Thread-3] (UserGroupInformation.java:1572)   - PrivilegedAction as:gautier (auth:SIMPLE) from:org.apache.hadoop.yarn.client.RMProxy.getProxy(RMProxy.java:142)
15:00:22,454 DEBUG [Thread-3] (YarnRPC.java:58)   - Creating YarnRPC for org.apache.hadoop.yarn.ipc.HadoopYarnProtoRPC
15:00:22,454 DEBUG [Thread-3] (HadoopYarnProtoRPC.java:47)   - Creating a HadoopYarnProtoRpc proxy for protocol interface org.apache.hadoop.yarn.api.ApplicationClientProtocol
15:00:22,465 DEBUG [Thread-3] (Configuration.java:953)   - conf set rpc.engine.org.apache.hadoop.yarn.api.ApplicationClientProtocolPB value org.apache.hadoop.ipc.ProtobufRpcEngine
